Service name,City,Extra,Clean_Service_Name,Core_Name
Le CAP,Ottawa,1.0,le cap,le cap
"Linck Child, Youth and Family Supports",Chatham-Kent,1.0,linck child youth and family supports,linck child youth and supports
LOFT Community Services,Toronto,1.0,loft community services,loft
LOFT Community Services,Vaughan,1.0,loft community services,loft
London Health Sciences Centre,"London, Ontario",1.0,london health sciences centre,london sciences
Lumenus Community Services,Toronto,1.0,lumenus community services,lumenus
Lynwood Charlton Centre,"Hamilton, Ontario",1.0,lynwood charlton centre,lynwood charlton
Madison Community Services,Toronto,1.0,madison community services,madison
Markham Stouffville Hospital,"Markham, Ontario",1.0,markham stouffville hospital,markham stouffville hospital
Maryvale Adolescent and Family Services,"Windsor, Ontario",1.0,maryvale adolescent and family services,maryvale adolescent and
Meadan Mansion,"St. Thomas, Ontario",1.0,meadan mansion,meadan mansion
Mental Health Connections,"Windsor, Ontario",1.0,mental health connections,connections
Mental Health Network of Chatham-Kent,Chatham-Kent,1.0,mental health network of chatham,network of chatham
Mental Health Rights Coalition,"Hamilton, Ontario",1.0,mental health rights coalition,rights coalition
Mission Services of London,"London, Ontario",1.0,mission services of london,mission of london
Montebello Place Inc,St. Catharines,1.0,montebello place inc,montebello place
Montfort Renaissance,Ottawa,1.0,montfort renaissance,montfort renaissance
Mood Disorders Support Group of Guelph,Guelph,1.0,mood disorders support group of guelph,mood disorders support group of guelph
Myeloma Canada [Windsor District],"Windsor, Ontario",1.0,myeloma canada windsor district,myeloma canada windsor district
NAN Hope,Thunder Bay,1.0,nan hope,nan hope
National Initiative for Eating Disorders,Toronto,,national initiative for eating disorders,national initiative for eating disorders
New Life Girls' Home Canada,Quinte West,,new life girls home canada,new life girls home canada
New Path Youth and Family Services of Simcoe County,Barrie,1.0,new path youth and family services of simcoe county,new path youth and of simcoe county
New Path Youth and Family Services of Simcoe County,Orillia,1.0,new path youth and family services of simcoe county,new path youth and of simcoe county
Niagara Health,Port Colborne,1.0,niagara health,niagara
Nogojiwanong Friendship Centre,"Peterborough, Ontario",1.0,nogojiwanong friendship centre,nogojiwanong friendship
North Bay Regional Health Centre,Greater Sudbury,1.0,north bay regional health centre,north bay regional
North Bay Regional Health Centre,"North Bay, Ontario",1.0,north bay regional health centre,north bay regional
Northern Initiative for Social Action,Greater Sudbury,1.0,northern initiative for social action,northern initiative for social action
Northwestern Ontario Peer Connections,Thunder Bay,1.0,northwestern ontario peer connections,northwestern peer connections
Nuvista Mental Health,Ottawa,1.0,nuvista mental health,nuvista
OCD North,Barrie,1.0,ocd north,ocd north
OCD Ottawa,Ottawa,1.0,ocd ottawa,ocd ottawa
Ontario Native Women's Association,Thunder Bay,1.0,ontario native women s association,native women s
Ontario Native Women's Association,Timmins,1.0,ontario native women s association,native women s
Ontario Shores Centre for Mental Health Sciences,Kawartha Lakes,1.0,ontario shores centre for mental health sciences,shores for sciences
Operational Stress Injury Social Support,"London, Ontario",1.0,operational stress injury social support,operational stress injury social support
OPTIONS northwest,Thunder Bay,1.0,options northwest,options northwest
Orillia Soldiers' Memorial Hospital,Orillia,1.0,orillia soldiers memorial hospital,orillia soldiers memorial hospital
Overeaters Anonymous,"Belleville, Ontario",1.0,overeaters anonymous,overeaters anonymous
Overeaters Anonymous,Brockville,1.0,overeaters anonymous,overeaters anonymous
Overeaters Anonymous,"Burlington, Ontario",1.0,overeaters anonymous,overeaters anonymous
Overeaters Anonymous,"Kingston, Ontario",1.0,overeaters anonymous,overeaters anonymous
Overeaters Anonymous,Ottawa,1.0,overeaters anonymous,overeaters anonymous
Overeaters Anonymous - Northern Ontario,Greater Sudbury,1.0,overeaters anonymous,overeaters anonymous
Pathstone Mental Health,Welland,1.0,pathstone mental health,pathstone
Pembroke Regional Hospital,"Pembroke, Ontario",1.0,pembroke regional hospital,pembroke regional hospital
Peterborough Family Health Team,"Peterborough, Ontario",1.0,peterborough family health team,peterborough team
PLEO - Parents' Lifeline,Ottawa,1.0,pleo,pleo
PLEO - Parents' Lifeline,"Pembroke, Ontario",1.0,pleo,pleo
Postpartum Support International,Toronto,,postpartum support international,postpartum support international
Providence Care,"Kingston, Ontario",1.0,providence care,providence care
Psychiatric Survivors of Ottawa,Ottawa,1.0,psychiatric survivors of ottawa,psychiatric survivors of ottawa
Quinte Health,"Belleville, Ontario",1.0,quinte health,quinte
Reconnect Health Services,Brampton,1.0,reconnect health services,reconnect
Reconnect Health Services,Mississauga,1.0,reconnect health services,reconnect
Recovery Canada - Sault Ste Marie,"Sault Ste. Marie, Ontario",1.0,recovery canada,recovery canada
Robbie Dean Family Counselling Centre,"Pembroke, Ontario",1.0,robbie dean family counselling centre,robbie dean counselling
ROCK,"Burlington, Ontario",1.0,rock,rock
Ross Memorial Hospital Kawartha Lakes,Kawartha Lakes,1.0,ross memorial hospital kawartha lakes,ross memorial hospital kawartha lakes
Royal Victoria Regional Health Centre,Barrie,1.0,royal victoria regional health centre,royal victoria regional
Salvation Army Ontario Division,"Hamilton, Ontario",1.0,salvation army ontario division,salvation army division
"Salvation Army, Greater Toronto Housing and Homelessness Supports",Toronto,1.0,salvation army greater toronto housing and homelessness supports,salvation army greater toronto housing and homelessness supports
Sandy Hill Community Health Centre,Ottawa,1.0,sandy hill community health centre,sandy hill
Sault Area Hospital,"Sault Ste. Marie, Ontario",1.0,sault area hospital,sault area hospital
School Community Intervention Partnership,"London, Ontario",1.0,school community intervention partnership,school intervention partnership
Services and Housing in the Province,Mississauga,,services and housing in the province,and housing in province
Shepherds of Good Hope,Ottawa,1.0,shepherds of good hope,shepherds of good hope
Six Nations of the Grand River,Brantford,1.0,six nations of the grand river,six nations of grand river
SOAR Community Services,Brantford,1.0,soar community services,soar
Somerset West Community Health Centre,Ottawa,1.0,somerset west community health centre,somerset west
Southwest Ontario Aboriginal Health Access Centre,Owen Sound,1.0,southwest ontario aboriginal health access centre,southwest aboriginal access
St Joseph's Care Group,Thunder Bay,1.0,st joseph s care group,st joseph s care group
St Joseph's Health Care London,"London, Ontario",1.0,st joseph s health care london,st joseph s care london
St Joseph's Healthcare Hamilton,Brantford,1.0,st joseph s healthcare hamilton,st joseph s healthcare hamilton
St Joseph's Healthcare Hamilton,"Burlington, Ontario",1.0,st joseph s healthcare hamilton,st joseph s healthcare hamilton
St Thomas Elgin General Hospital,"St. Thomas, Ontario",1.0,st thomas elgin general hospital,st thomas elgin general hospital
St. Joseph's Healthcare Hamilton,"Hamilton, Ontario",1.0,st joseph s healthcare hamilton,st joseph s healthcare hamilton
Starling Community Services,"Waterloo, Ontario",1.0,starling community services,starling
The Phoenix Centre for Children and Families,"Pembroke, Ontario",1.0,the phoenix centre for children and families,phoenix for children and families
The Royal,Brockville,1.0,the royal,royal
Thunder Bay Regional Health Sciences Centre,Thunder Bay,1.0,thunder bay regional health sciences centre,thunder bay regional sciences
