Service name,City,Unnamed: 2,Counselling,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Clean_Service_Name,Core_Name
Phoenix Medical Centre,,1.0,,,,,,,phoenix medical centre,phoenix medical
Quest Community Health Centre,Mississauga,1.0,,,,,,,quest community health centre,quest
Rapids Family Health Team,Oshawa,1.0,,,,,,,rapids family health team,rapids team
Ray of Hope,Ottawa,1.0,,,,,,,ray of hope,ray of hope
RE/ACT Windsor-Essex,Kitchner,1.0,,,,,,,re act windsor,re act windsor
Recovery Care,Ottawa,1.0,,,,,,,recovery care,recovery care
Recovery North,"Cornwall, Ontario",1.0,,,,,,,recovery north,recovery north
Renew Medical Clinic,Sudbury,1.0,,,,,,,renew medical clinic,renew medical
RGA and The Space Within,Mississauga,,,,,,,,rga and the space within,rga and space within
Right to Heal,"Stratford, Ontario",,,,,,,,right to heal,right to heal
Road to Recovery Addiction Clinic,Barrie,1.0,,,,,,,road to recovery addiction clinic,road to recovery
Salvation Army (The),Barrie,1.0,,,,,,,salvation army,salvation army
Salvation Army (The),"Kingston, Ontario",1.0,,,,,,,salvation army,salvation army
"Salvation Army, Greater Toronto Housing and Homelessness Supports",Ottawa,1.0,,,,,,,salvation army greater toronto housing and homelessness supports,salvation army greater toronto housing and homelessness supports
Sandy Hill Community Health Centre,,1.0,,,,,,,sandy hill community health centre,sandy hill
Sault Area Hospital,Ottawa,1.0,,,,,,,sault area hospital,sault area hospital
Segue Clinic,,1.0,,,,,,,segue clinic,segue
Seven South Street Treatment Centre,,1.0,,,,,,,seven south street treatment centre,seven south street
Shepherds of Good Hope,,1.0,,,,,,,shepherds of good hope,shepherds of good hope
Silverlinings Medical Centres,Guelph,1.0,,,,,,,silverlinings medical centres,silverlinings medical centres
Silverlinings Medical Centres,Guelph,1.0,,,,,,,silverlinings medical centres,silverlinings medical centres
Simcoe Muskoka Regional Eating Disorder Program,,1.0,,,,,,,simcoe muskoka regional eating disorder program,simcoe muskoka regional eating disorder program
SOAR Community Services,,1.0,,,,,,,soar community services,soar
Sobriety House Inc,,1.0,,,,,,,sobriety house inc,sobriety house
St Joseph's Care Group,"lillie street,London, Ontario",1.0,,,,,,,st joseph s care group,st joseph s care group
St Joseph's Care Group,"Sibley Dr, London, Ontario",1.0,,,,,,,st joseph s care group,st joseph s care group
St Joseph's Care Group,"Oliver Road, Ontario",1.0,,,,,,,st joseph s care group,st joseph s care group
St Joseph's General Hospital - Camillius Centre,Elliot Lake,1.0,,,,,,,st joseph s general hospital,st joseph s general hospital
St Joseph's General Hospital - Adult Substance program,Elliot Lake,1.0,,,,,,,st joseph s general hospital,st joseph s general hospital
St Joseph's General Hospital - Chemicals dependency program,Elliot Lake,1.0,,,,,,,st joseph s general hospital,st joseph s general hospital
St Michael's Hospital,,,,,,,,,st michael s hospital,st michael s hospital
St Paul Clinic,,,,,,,,,st paul clinic,st paul
St. Joseph's Healthcare Hamilton,,,,,,,,,st joseph s healthcare hamilton,st joseph s healthcare hamilton
Stonehenge Therapeutic Community,Guelph,1.0,,,,,,,stonehenge therapeutic community,stonehenge therapeutic
Stonehenge Therapeutic Community - RAAMS,Guelph,1.0,,,,,,,stonehenge therapeutic community,stonehenge therapeutic
Stonehenge Therapeutic Community - Residential Program,Guelph,1.0,,,,,,,stonehenge therapeutic community,stonehenge therapeutic
Teen Challenge Canada,"London, Ontario",1.0,,,,,,,teen challenge canada,teen challenge canada
